text,prediction,true label
"Petra Guttenberger MdL, Ihre Landtagsabgeordnete der CSU, Stellv. Vors. Ausschuss Verfassung Recht Mitglied d. Ältestenrat, stellv. Vors. Frauenunion,",3,
"@schluesselburg@berlin.social MdA @dielinkeberlin, (Berlin House of Representatives), Justizpolitiker, Finanzpolitiker, Direktmandat in #Lichtenberg 4, Team=/TS",6,
"#Unternehmerin #Politikerin (Mitglied des 7. Thüringer Landtags, BfTh) #liberal & #bürgerlich #Westfälin & #Thüringerin #privater Twitter-Account",0,
"MdEP @Europarl_DE, Vizepräsidentin der S&D-Fraktion @TheProgressives🌹 @spdberlin Vizepräsidentin @EuropaUnionDE 🇪🇺🚲 Europäerin, Feministin, Gewerkschafterin",0,
"Sozialdemokratin, Kommunalpolitikerin und Mitglied des Thüringer Landtages. Zuhause in der #Prachtregion.",2,
"Aufsichtsrätin, Staatssekretärin a.D,  2006-2016 MdL, @Frauenimfokus Initiatorin",6,
"Landtagsfraktion der Freien Demokraten in Sachsen-Anhalt - Den Mensch in den Mittelpunkt stellen, das Land voranbringen",2,
"Ostbeauftragter der Bundes-SPD, stellv. Ministerpräsident des Freistaates Sachsen, Minister für Wirtschaft, Arbeit und Verkehr",6,
Sozialdemokrat. Pfälzer. Minister für #Arbeit #Soziales #Transformation und #Digitalisierung. Für die #Südpfalz im Landtag #RLP. 1.FC Kaiserslautern und 🌱,2,
❤️ Wir sind die Schleswig-Holstein-Partei. 💪🏼 #kurSHslten für unser Land.,6,
Neuigkeiten und Kurznachrichten von PRO NRW,2,
Europaabgeordneter; Sprecher der EVP-Fraktion im Ausschuss für Wirtschaft und Währung; Vorsitzender der Hanns-Seidel-Stiftung,6,
"Landtagsabgeordneter in RLP, Parlamentarischer Geschäftsführer der SPD-Landtagsfraktion, Christ, dem 1.FC Kaiserslautern verfallen, Trompeter, 100% Pfälzer!",6,
Landtagsabgeordneter seit 2010. #Remscheid und #Radevormwald. #LtNRW #NRW #NRWSPD #Spd-Fraktion-nrw,2,
Mitglied des Landtags NRW - NRWSPD-Fraktion,2,
Mitglied des Deutschen Bundestages * Abgeordnete für Hameln-Pyrmont – Holzminden * Christdemokratin * FU Landesvorsitzende Niedersachen,6,
Mitglied des Bundestages für den Wahlkreis Stuttgart. 2012 bis 2021 Parteivorsitzender DIE LINKE. Gewerkschafter. Für einen LINKEN Green New Deal.,0,
"🚩 MdA | Mitglied des Abgeordnetenhauses von Berlin 🔥 Sprecher Klima-, Flucht- & Antifaschistische Politik",6,
"Familienmensch, Schornsteinfeger, Sozialdemokrat, Landtagsabgeordneter.",6,
Förderschullehrer I MdL & Sprecher f. Bildung I Generalsekretär @hessenspd I Kreistag MKK I Musikliebhaber I Läufer I Kuchenbäcker,0,
Landesvereinigung FREIE WÄHLER Rheinland-Pfalz,6,
"Arbeitnehmer-Anwalt / MdA @dielinkeberlin, direkt gewählt in #Friedrichshain-West, Sprecher für Arbeit und Wirtschaft",6,
Landtagsabgeordneter (Bündnis 90/ Die Grünen) für den Bodenseekreis,1,
"MdL, Vorsitzender des Europaausschusses im HLT, Vorsitzender der AfD-Fraktion Marburg-Biedenkopf, Bürgermeister a.D.",5,
Bundesminister der Finanzen. Bundesvorsitzender der Freien Demokraten. Es twittern er selbst (CL) und sein Team (TL).,6,
"🚩🇪🇺🏳️‍🌈 | Früher viele Jahre Politik (für @dielinke u.a. als BGF, im Bundestag & im Landtag) - heute Tagungsmanagement, Immobilien & Hotellerie und so",6,
LinksFraktion Hamburgische Bürgerschaft: Ko-Vorsitzende/Fachsprecherin für Schule-Bildung-Jugend-Familie,0,
"Feministin, Sozialdemokratin, Europa, Bundesministerin a.D., MdEP, Vizepräsidentin @europarl_de, Impressum: https://t.co/SB9oxMC1FL",0,
"LINKEN Abgeordnete in der Bremischen Bürgerschaft. Aktiv in der Bildungs-, Kultur- &Hochschulpolitik.",0,
"Mitglied des Landtags Brandenburg #linke_ltbb Sprecher für Soziales, Verbraucherschutz, Verkehr und Religion #Zionist 🇮🇱 עם ישראל חי FCKBDS",3,
Mensch. Abgeordnete @linke_ltbb.,0,
"SPD-Bundestagsabgeordnete für den Wahlkreis 54 - Bremen I,
Staatsministerin beim Bundeskanzler, hier privat unterwegs",2,
"Mitglied des Bay. Landtags, Vorsitzender des Landessportbeirates, sportpolitischer Sprecher und Beisitzer im Vorstand der CSU-Landtagsfraktion",6,
"Freiheitsfreund, MdB, Haushälter, Rechtsanwalt, Mitglied Bundesvorstand FDP sowie immer wieder etwas über die Niederlande",4,
"Damit die Zukunft eine Chance hat: Partei ergreifen für Mensch, Umwelt und Tiere!
#MitgefühlWählen und den Stimmlosen eine Stimme geben!",6,
Offizieller Twitter Kanal der Partei Deutsche Konservative (Bundesverband),2,
"Interessiert an dem, was sich zwischen dem Erbauen und dem Abreißen von Häusern und Städten ereignet. Abgeordnete, 18. & 19.Wahlperiode in #berlin für #dielinke",6,
"Mitglied des Abgeordnetenhauses von Berlin (CDU)
für den Bezirk Friedrichshain-Kreuzberg",3,
"Münsteranerin, Sozialdemokratin, MdB und Bundesministerin für wirtschaftliche Zusammenarbeit und Entwicklung. Das ist mein persönliches Twitter-Profil.",6,
Sauerländer. Bundestagsabgeordneter. Freier Demokrat. Familienvater.,2,
"MdL, Politikwissenschaftler, Kreisrat, Stadtrat, Aktiv in JU und CSU, Stadtführer in Neuburg",6,
"Aktuelles aus dem Ministerium für #Arbeit, #Soziales, #Gesundheit und #Gleichstellung #SachsenAnhalt / https://t.co/4IqQZCQicH @SachsenAnhalt",6,
"🇪🇺 Mitglied des @europarl_EN 🗣️ Sprecherin der @theprogressives im Ausschuss für bürgerliche Freiheiten, Justiz & Inneres 📍Soest, NRW",0,
Sozialdemokratin - ehemalige Bundestagsabgeordnete – Bergsteigerin - Feministin – Juristin,2,
"MdL, Präsidentin des Bayerischen Landtags und CSU-Bezirksvorsitzende Oberbayern",3,
"Mitglied des Landtags Nordrhein-Westfalen | Liberale Politik für den Niederrhein | Sprecher für Wirtschaft, Energie, Klima, Umwelt und Landwirtschaft",4,
"Sozialdemokratin, Feministin, Mutter. Will die Welt gerechter machen. Positive Energie und gute Ideen sind willkommen, Hass& Drohungen werden angezeigt",2,
"Klimaschützer, Direktdemokrat, Antifaschist. Arbeitet bei @bbk_2010, Born at 325,06 ppm. Metal-Fan. Birder. #StandwithUkraine",0,
"Ministerium für Klimaschutz, Umwelt, Energie und Mobilität / Umwelt-Informationen aus RLP / https://t.co/xDjNMfsqcN / https://t.co/MwK7GtfIux",6,
"SPD-Europaabgeordnete, umwelt-&klimapolitische Sprecherin @spdeuropa, #GreenDeal wie ne 🍉: grüne + öko Schale, roter + gerechter Kern! 🙃",2,
"Fraktionsvorsitzender der Linken in der Bremischen Bürgerschaft, Bremerhaven, Gesundheitspolitik, Innenpolitik",0,
"Mitglied des Deutschen Bundestags, CSU, Wahlkreis 213 Erding-Ebersberg, Energie; Wirtschaft; Nachhaltigkeit und alles andere..",3,
"Stellvertretende Fraktionsvorsitzende der @BayernSPD_Lndtg | Agrar- und frauenpolitische Sprecherin
Generalsekretärin der @BayernSPD",2,
| Mitglied des Bundestages @dielinke | Innenpolitische Sprecherin | Autorin                     | prima di tutto antifascista,0,
"Einrichtungsleiter, Ex-MdL, Fraktionsvorsitzender im Stadtrat und stellv. Vorsitzender im Kreistag #spd #neuwied #rheinlandpfalz OVV #vdk Hier privat unterwegs",6,
Liberale Tweets für Rheinland-Pfalz. Impressum: https://t.co/WrkfkuDUxI…. Datenschutzerklärung: https://t.co/25RR1nMXFB….,4,
Ich bin NRW-Landtagsabgeordnete aus und für den Wahlkreis 11/Düren I (Nordkreis Düren Jülich) Impressum: https://t.co/yfMBDrB5YH,6,
ZUKUNFT für Rheinland-Pfalz ist wählbar: FREIE WÄHLER treten an zur Landtagswahl 2011,1,
"Wir streiten für mutige, faire, nachhaltige und fortschrittliche Politik. Deutschlands sozialliberale Partei. 🗽⚖️🌿🚀
Impressum: https://t.co/q7zMc8FMmj",0,
Für den Erhalt unserer Lebensgrundlagen und eine geschlechtergerechte Welt 🌱 #Klimaschutz #Feminismus,6,
"Saarbrückerin, Gewerkschafterin, Sozialdemokratin,
Bundestagsabgeordnete, Parlamentarische Geschäftsführerin,
German MP",6,
Münsterländer 🙋‍♂️ | MdB | #CDUCSU-FraktionBundestag | #KreisWAF | #mobilitaet #klimaschutz| #wirtschaft |#OEPNV | Tubist | #NoAfD,3,
Präsident der @fuechseberlin @fuechseberlinev,6,
#DIELINKE #Karlsruhe (MdB 2017-21)   Konsequent für eine soziale und solidarische Gesellschaft. #Menschenrechte #Seenotrettung #Antifa,0,
"MdHB für den Wahlkreis Hamburg-Mitte #hhbue | Sprecher für Wirtschaft, Medien- & Netzpolitik | #NurderHSV | Sozialdemokrat | Unternehmer",2,
"Mitglied des 18. und des 19. Deutschen Bundestages. @Reichsbanner Schwarz-Rot-Gold, @Volksbund deutsche Kriegsgräberfürsorge, @spdneukoelln. Discite Donatum!",6,
"Begeistert für Wissenschaft, Forschung und Kultur (vor allem in Brandenburg). Privat und Sozialdemokrat.",6,
"Mitglied des Parteivorstandes DIE LINKE, Bundesschatzmeister",6,
