"example"	"label"
"Offizieller Twitter Account von Außenministerin Annalena Baerbock │ Official Twitter Account of Foreign Minister Annalena Baerbock"	"1"
"Dies ist ein Archiv des Twitter-Accounts von Annalena Baerbock für den Zeitraum bis 9.12.2021. Hier wird nicht mehr getwittert."	"1"
"Landtagsabgeordnete der @cdufraktionmv, stellv. Landesvorsitzende @CDUMV, Polizistin ????Sprecherin für Sicherheitspolitik ??"	"3"
"Finanzsenator der Freien und Hansestadt Hamburg, Familienvater, Jurist, SPD-Kreisvorsitzender Wandsbek, direkt gewählt im WK Alstertal/Walddörfer, hier privat"	"2"
"Vorstehender der Bundestagsfraktion der Alternative für Deutschland. @AfD | Support"	"5"
"Abgeordnete der Hamburgischen Bürgerschaft Sprecherin für Wissenschaft und Forschung ?? #spd #hamburg #fcsp #billstedt"	"2"
"Außenhandelssprecher der FDP BT Fraktion | Mitglied Auswärtiger Ausschuss | Bild Johannes Wosilat | Hier twittern Alexander Kulitz (AK) und sein Team (TK)."	"4"
"SPD-Landtagsabgeordnete für #Loehne #Roedinghausen #Buende #Kirchlengern #Spenge #BadOeynhausen"	"2"
"Seit 2009 direkt gewählter Bundestagsabgeordneter für den Osterholz - Verden im Bundesland Niedersachsen. Inhaber der Kgl. Preußischen Biermanufactur"	"6"
"Abgeordneter @buergerschaftHH | stellv Vorsitzender @spdhh | macht was fürs Klima"	"2"
"MdEP für Oberbayern & München in der EVP, Vors. der CSU-Europagruppe & stv. CSU-Parteivorsitzende, ITRE & JURI ☞ Industriepolitik, Digitales, KI..."	"3"
"Staatsrat für Wirtschaft in Hamburg, aber hier ausschließlich privat unterwegs"	"6"
"Mitglied des Saarländischen Landtags, stv Bundesvorsitzende Frauen Union, Landesvorsitzende FU Saar, Saarländerin, Familienmensch"	"3"
"#MdB Wahlkreis #Tübingen, Staatsministerin a.D., @CDU-Bundesvorstand, Bundesvorsitzende Frauen Union #FU"	"3"
"*MdA Berlin *Fraktion der FDP Berlin *Arbeitsmarktpolitischer Sprecher *Mitglied im Ausschuss Sport *Mitglied im Ausschuss Bürgerschaftliches Engagement"	"4"
"Bundestagsabgeordnete"	"6"
"Direkt gewähltes Mitglied des Abgeordnetenhauses von Berlin - vor Ort. in Kaulsdorf-Nord und Hellersdorf-Süd"	"6"
"SPD-MdB für Minden-Lübbecke, Vorsitzender NRW-Landesgruppe in der @spdbt & ehrenamtlicher Generalsekretär der SPE. Ich poste ohne Kürzel, mein Team unter (tap)."	"2"
"Staatssekretär im Bundesministerium des Innern, für Bau und Heimat"	"6"
"Unterstütze jetzt die #AfD! Teile unsere Inhalte oder unterstütze uns auf anderem Weg. Wie das geht, erfährst Du hier: https://t.co/k12hvMEDIK"	"5"
"•Mitteilungen & Kommentare des #AfD Landesverbandes Berlin •Impressum: https://t.co/boeXTCnann •RT ≠ Zustimmung! • Fraktion: @AfDFraktionAGH"	"5"
"Wir sind Deine Stimme im Landtag!"	"6"
"Wahlkreis #Marzahn 1 direkt gewonnen, #AFD Fraktion im #AGH, Sprecher für Migration und Remigration, LaVo Mitglied AfD Berlin https://t.co/Zr3aljKX2f"	"5"
"Agrarpolitischer Sprecher der AfD Fraktion im Bundestag. Landesvorsitzender AfD Bayern"	"5"
"Hier twittert der bayerische AfD-Landesverband | (@AfD_Bayern)| https://t.co/ang6dbmdzp | Jetzt auch im Landtag | https://t.co/uPacAhaqEs"	"5"
"Hier twittert die bayerische AfD-Landtagsfraktion | (@AfD_Bayern_LT)| Folgt uns | Unterstützt uns | https://t.co/XeV31M2GuL… |"	"5"
"Wir sind der Landesverband Mecklenburg-Vorpommern der Alternative für Deutschland"	"5"
"Der Landesverband der Alternative für Deutschland in Rheinland-Pfalz"	"5"
"Twitteraccount des Landesverbandes Thüringen der Alternative für Deutschland (#AfD) | Facebook: https://t.co/BricD2hGeF"	"5"
"Eugen Schmidt, das Netzwerk '#Russlanddeutsche für die #AfD', kontakt@russlanddeutsche-afd.nrw, https://t.co/kd7sjnezhg, https://t.co/ro6SKdS0vb, https://t.co/SWXVENwklt"	"5"
"Mitglied des Landtags von MV, Agrarpolitischer Sprecher, Landesschatzmeister, Vorsitzender des AfD Kreisverbands VG, Mitglied des Kreistags VG"	"5"
"Mitglied des sächsischen Landtags @spdsaxlt #saxlt Stadtvorsitzender der SPD Dresden @spd_dresden"	"2"
"Mitglied des Sächsischen Landtags & Generalsekretär der @cdusachsen"	"3"
"Sozialdemokrat. Pfälzer. Minister für #Arbeit #Soziales #Transformation und #Digitalisierung. Für die #Südpfalz im Landtag #RLP. 1.FC Kaiserslautern und ??"	"2"
"Direkt gewählter Abgeordneter für Bad Tölz-Wolfratshausen und Miesbach. Europa & Auswärtiges, manchmal noch Finanzen. Europapolitischer Sprecher der CSU im BT."	"3"
"Politikwissenschaftler - Dr. phil.; ehem. MdB Verteidigungsausschuss; Publizist Außen-, Sicherheits- und Geopolitik."	"6"
"#standwithUkraine ?????? Member of EU Parliament @die_gruenen | Vice-President @GreensEFA?? | she/her | TG = Team Geese | ➡️ Mastodon alexandrageese@bonn.social"	"1"
"Mitglied des Landtags Nordrhein-Westfalen | Jüngster Abgeordneter | 27 | Freie Demokraten | Jura-Student | Insta: _brockmeier"	"4"
"Fraktionsvorsitzende der @AfDimBundestag | AfD-Bundessprecherin"	"5"
"Warum es uns geben muss, ist hier nachzulesen. https://t.co/EzC8ij7xZM"	"6"
"Vorsitzender des Finanzausschusses im Deutschen Bundestag @cducsubt MdB WK #StraubingBogen #Gäuboden und #Regen #Arberland"	"3"
"⚖️ Rechtsanwalt * WESHALB - DESHALB WARUM - DARUM WESWEGEN - DESWEGEN WOFÜR - DAFÜR WOZU - DAZU. ABER NICHT: WIESO - DIESO!"	"6"
"Abgeordnete der Hamburgischen Bürgerschaft ??"	"6"
"Stv. Fraktionsvorsitzender @GrueneBundestag | Finanzen, Haushalt, Wirtschaft, Arbeit, Soziales | Im Bundestag für Neukölln | Mastodon @anaudretsch@gruene.social"	"1"
