text,prediction,true label
Hier twittert das Bayerische #Staatsministerium für #Umwelt und #Verbraucherschutz. Das erste Umweltministerium in Deutschland und weltweit!,6,
"Für das Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz twittert das Social-Media-Team des #BMUV.",6,
"Hier twittert die politische Partei 
Wir Bürger
Liberal.Konservativ. 
Impressum:https://t.co/GIji6KOj2x
https://t.co/MtcOh7Up4b",4,
Sozialpolitikerin. hier privat https://t.co/2cElEoEwLm,2,
Landtagsabgeordnete SSW,6,
Staatsminister für Soziales und Integration (@SozialHessen) der @reghessen. Fighting Corona. Brücken statt Mauern. Vorsitzender #IntMK 22/23. er/he,2,
"Eine Bürgerrechtsbewegung die für eine neue Weltwirtschaftsordnung kämpft - schaut euch die Welt an, wir brauchen dringend eine neue...",3,
"MdB für Steglitz-Zehlendorf, Klimapolitiker, Vors. der KlimaUnion, Justizsenator a.D., Unternehmer, Autor vom #NEUSTAAT, CDU | Team kommentiert mit /TTH 🇺🇦",3,
Auf Grün kommt’s an!,1,
"Twitter-Account des Ministeriums für Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen (MUNV NRW) zum Thema #Mobilität. Folgen Sie auch @UmweltNRW!",0,
Soziale Politik für Dich.,6,
"Hier twittert das Social-Media-Team des Sozialministeriums über Neues zu den Themen KiTa, Jugend, Familie, Senioren, Integration und Gleichstellung.",6,
"Co-Vorsitzende Forum DL21-Die Linke in der SPD. 2001-2021 Sprecherin für Soziales der SPD-Fraktion #AGH, Staatssekretärin a.D. #Sozi #Berlinerin #MdA",0,
"Freier Demokrat
Vizepräsident des Hessischen Landtags
Landtagsabgeordneter
Staatsminister a.D.",6,
"Südhessisches MdB | Entwicklungspolitischer Sprecher @fdpbt | Innovationsbeauftragter ""Grüner Wasserstoff"" @BMBF_Bund | Mitglied im Finanzausschuss",4,
"#DGB-Vorsitzende @dgb_news | Überzeugungstäterin |  Feministin | 

Impressum/Datenschutz: https://t.co/TmfOKxo2M1",6,
2017-2021 Member of the German Bundestag | Member of the OSCE-PA| Historian and Gender Scientist 🇺🇦,6,
Linke Sozialdemokratin,0,
Bundestagsabgeordnete im Eifel-Mosel Kreis Teenie-Abgeordnete #eifelkreisbitburgprüm  #vulkaneifel #bernkastelwittlich #SPD #Feministin,2,
"Mitglied im #EUParlament 
Fachpolitische Sprecherin der ID-Fraktion für Frauenrechte sowie Kultur und Bildung als Koordinatorin in den Ausschüssen FEMM & CULT",6,
"Feministin, Foodie, Gärtnerin. Anwältin, Sozialarbeiterin, MdB. Verbraucherministerin.a.D , Kämpfe für das Recht + RechtaufNahrung #darumGrün",1,
HEIMAT. LAND. THÜRINGEN. | Politik aus dem Thüringer Landtag | Vorsitzender @mariovoigt,6,
Lehrer/ #MdL @saxgruene/ Direktmandat #Dresden #Altstadt #Neustadt/ #Stadtrat/ #Wohnen #Stadtentwicklung #Baukultur #Denkmal #Bildung #Kultur #Antifaschist,1,
Staatsminister für Unterricht und Kultus / Stellv. Landesvorsitzender der Freien Wähler Bayern / Vorsitzender der Freien Wähler München,6,
"MdB für die #Südpfalz | Parl. Staatssekretär @bmbf_bund | @EYL40 | 
(TB) = Team Brandenburg",2,
Wir sind eure liberale Stimme in Sachsen-Anhalt. 💛 Jetzt Mitglied werden! #VielZuTun,6,
Wir machen soziale Politik für Dich.,2,
🌻 Direkt gewählte Bundestagsabgeordnete für Karlsruhe👩‍🎓 Dr.-Ing. ✊ Für #klimaschutz #tierschutz #tierrechte #zusammenhalt 🌱💪 plant powered 🍀 Zoe+Team,6,
Marxistisch-Leninistische Partei Deutschlands - Die sozialistische Alternative! // Kontakt: info@mlpd.de // Werde Mitglied: https://t.co/6VEEgUtlv2,2,
"Christ - Abgeordneter im Saarländischen Landtag - Vorsitzender der CDU-Fraktion Saarbrücken: ""Für Freiheit muss man etwas wagen"" - Tweets Privatmeinung",3,
Landtagsabgeordneter für den Gifhorner Südkreis,1,
"MdLThüringen,Mensch,Leidenschaftlich,Demokratietante,Links",0,
#Berlin born&raised | football fanatic | Vorsitzender FDP #MaHe| #feminist | ❤️🇪🇺,1,
#engagiert #sozi #brandenburg Für die Region und die Fraktion,2,
Mitglied des Bayerischen Landtags - CSU-Kreisvorsitzender Aichach-Friedberg,3,
"Berliner| Abgeordneter in Berlin für Biesdorf, Marzahn, Friedrichsfelde| Mittelstand| Gesundheit, Pflege| Energie| Lebensmotto: Humor, Kiez & Kosmos",6,
📍Direkt gewählter Abgeordneter für Kiel-Nord. 🏛️ Landtag Schleswig-Holstein. 🌱 Grün. Fraktionsvorsitzender. 🔨 Sprecher für Wirtschaft und Arbeit.,1,
Bundestagsabgeordneter 🇩🇪 | Direktmandat 🗳 | Essen 😍 und Ruhrgebiet 🏙 | Finanzen 💶 und Digitales 👨🏼‍💻 | gegen Extremismus 🔞 | Anwalt ⚖️ | CDU 📓,3,
"Landes- und Fraktionsvorsitzender der @CDUNds, Landtagsabgeordneter für Neustadt & Wunstorf.",3,
"Landtagsabgeordneter im Bayerischen Landtag I
Fraktion BÜNDNIS90/DIEGRÜNEN I Rechtspolitischer Sprecher",1,
Landesvorsitzender der @CDUNds & Abgeordneter des Niedersächsischen Landtags,3,
"MdL, Parlamentarischer Geschäftsführer der CSU Fraktion im Landtag #Oberpfälzer #CSU",3,
Landtagsabgeordneter der AfD,5,
Direkt gewählte Abgeordnete #nürnberg #nord #LTWBY2018 CSU,3,
"AfD LSA Landesvorstandsmitglied
https://t.co/esZZ1iwHG8…",5,
"MdB, Innenpolitischer Sprecher der CSU im Bundestag I #CSU I #Miltenberg #MainSpessart",3,
"Direkt gewählter Abgeordneter für Bad Tölz-Wolfratshausen und Miesbach. Europa & Auswärtiges, manchmal noch Finanzen. Europapolitischer Sprecher der CSU im BT.",3,
"Landtagsabgeordneter der AfD aus Bad Schönborn, für den Wahlkreis 29. Seit 2016 im Landtag von Baden-Württemberg.",5,
Stellvertretende Vorsitzende der CSU Landtagsfraktion Vorsitzende der Kinderkommission des Bayerischen Landtags,3,
"Vors. Arbeit u. Soziales, Familie u. Jugend CSU-Landtagsfraktion, CSU-Kreisvorsitzender, Landesvorsitzender Wasserwacht Bayern, Vors. CSU-Familienkommission",3,
"Grün. Lila. Bunt. MdL.
sie|she",1,
"Bayerischer Landtagsabgeordneter, CSU-Kreisvorsitzender, auf Twitter privat unterwegs...",3,
"Mitglied des Bayerischen Landtags, CSU, Stimmkreis Passau-West,
Mitglied der Ausschüsse Bildung, Jugend und Sport sowie Hochschule, Forschung und Kultur",3,
"Hier twittert das Social Media Team der Senatsverwaltung für Bildung, Jugend und Familie.",6,
"#MachenStattSödern! Für ein bezahlbares Bayern. Für soziale Politik. Für Dich.
https://t.co/ODUEyhtUu7",6,
"Prof. Dr. Klaus Buchner, ehem. EU-Abgeordneter der ÖDP, ehem. Univ.-prof. TU München. Aktuell im politischen (Un)Ruhestand. Hier twittert Team Buchner (TB)",6,
"Dies ist der offizielle Account von Susanne Hierl, MdB (CSU).",3,
Regierender Bürgermeister von Berlin @RegBerlin | Landesvorsitzender der @cduberlin,3,
🇩🇪 🇪🇺 Mitglied des Deutschen Bundestages     |     🎙 Generalsekretär @CDUNRW_de | 🏡 Iserlohner,3,
Bayer. Justizmin. aD ( 2013 —2018) ~ CSU Landtagsabgeordneter @Landtag_Bayern ~ Vorsitzender UA Maske ~ Kreisvorsitzender CSU A’burg Stadt ~csu_lt,3,
"Mitglied der AfD-Bundestagsfraktion, Mitglied im Haushaltsausschuss, stellv. Mitglied im Innenausschuss. Ihre Thüringer Stimme in Berlin.",5,
"Bundestagsabgeordneter für Northeim, Goslar und Osterode",6,
"Dipl.-Volkswirt (Uni), Bundestagsabgeordneter Landshut-Kelheim, Obmann im Haushaltsausschuss (CDU/CSU), CSU-Kreisvorsitzender, stellv. CSU-Bezirksvorsitzender",3,
Hier twittert das Presseteam der Senatorin für Wissenschaft und Häfen des Landes Bremen. #PortsLoveScience | Impressum: https://t.co/7Qj4JR0OYo,6,
MdL #LTRLP #Landtag #RLP der #CDUFraktionrlp Beauftragter für #Pflege #Pflegepolitik pro #Pflegekammer #cdurlp #kreisaltenkirchen #cduak #MiWae21 #wegenmorgen,3,
"Mitglied des Saarländischen Landtags, stv Bundesvorsitzende Frauen Union, Landesvorsitzende FU Saar, Saarländerin, Familienmensch",6,
Hier twittert das CSU-OnlineTeam. Impressum: https://t.co/VJFsfiOaeJ Informationen zum Datenschutz: https://t.co/FOavB8KCvn,3,
"📣Mitglied des Landtages Mecklenburg-Vorpommerns
🌻BÜNDNIS 90/DIE GRÜNEN💚 
🌞Voller Energie für Klima und Forschung
🔬Physiker am MPI für Plasmaphysik",1,
"MEP 🇪🇺 🇩🇪 
Chairman @FWHessen, Deputy Chairman @FREIEWAEHLER_BV
Economy, Foreign Affairs & Human Rights
@PDE_EDP @RenewEurope",6,
2016 AfD-Landtags-Direktmandat Mannheim I (Wahlkreis 35). 2021 im Wahlkreis 55 Tuttlingen-Donaueschingen wieder in den Landtag gewählt.,5,
