"example"	"label"
"Offizieller Twitter Account von Außenministerin Annalena Baerbock │ Official Twitter Account of Foreign Minister Annalena Baerbock"	"1 Grüne: ökonomisch neutral + libertär"
"Dies ist ein Archiv des Twitter-Accounts von Annalena Baerbock für den Zeitraum bis 9.12.2021. Hier wird nicht mehr getwittert."	"1 Grüne: ökonomisch neutral + libertär"
"Landtagsabgeordnete der @cdufraktionmv, stellv. Landesvorsitzende @CDUMV, Polizistin ????Sprecherin für Sicherheitspolitik ??"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Finanzsenator der Freien und Hansestadt Hamburg, Familienvater, Jurist, SPD-Kreisvorsitzender Wandsbek, direkt gewählt im WK Alstertal/Walddörfer, hier privat"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Vorstehender der Bundestagsfraktion der Alternative für Deutschland. @AfD | Support"	"5 AfD: ökonomisch rechts + autoritär"
"Abgeordnete der Hamburgischen Bürgerschaft Sprecherin für Wissenschaft und Forschung ?? #spd #hamburg #fcsp #billstedt"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Außenhandelssprecher der FDP BT Fraktion | Mitglied Auswärtiger Ausschuss | Bild Johannes Wosilat | Hier twittern Alexander Kulitz (AK) und sein Team (TK)."	"4 FDP: ökonomisch rechts + libertär/autoritär"
"SPD-Landtagsabgeordnete für #Loehne #Roedinghausen #Buende #Kirchlengern #Spenge #BadOeynhausen"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Seit 2009 direkt gewählter Bundestagsabgeordneter für den Osterholz - Verden im Bundesland Niedersachsen. Inhaber der Kgl. Preußischen Biermanufactur"	"6 keine Kategorie"
"Abgeordneter @buergerschaftHH | stellv Vorsitzender @spdhh | macht was fürs Klima"	"2 SPD: ökonomisch neutral + libertär/autoritär"
"MdEP für Oberbayern & München in der EVP, Vors. der CSU-Europagruppe & stv. CSU-Parteivorsitzende, ITRE & JURI ☞ Industriepolitik, Digitales, KI..."	"3 CDU/CSU: ökonomisch neutral + autoritär"
"Staatsrat für Wirtschaft in Hamburg, aber hier ausschließlich privat unterwegs"	"6 keine Kategorie"
"Mitglied des Saarländischen Landtags, stv Bundesvorsitzende Frauen Union, Landesvorsitzende FU Saar, Saarländerin, Familienmensch"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"#MdB Wahlkreis #Tübingen, Staatsministerin a.D., @CDU-Bundesvorstand, Bundesvorsitzende Frauen Union #FU"	"3 CDU/CSU: ökonomisch neutral + autoritär"
"*MdA Berlin *Fraktion der FDP Berlin *Arbeitsmarktpolitischer Sprecher *Mitglied im Ausschuss Sport *Mitglied im Ausschuss Bürgerschaftliches Engagement"	"4 FDP: ökonomisch rechts + libertär/autoritär"
"Bundestagsabgeordnete"	"6 keine Kategorie"
"Direkt gewähltes Mitglied des Abgeordnetenhauses von Berlin - vor Ort. in Kaulsdorf-Nord und Hellersdorf-Süd"	"6 keine Kategorie"
"SPD-MdB für Minden-Lübbecke, Vorsitzender NRW-Landesgruppe in der @spdbt & ehrenamtlicher Generalsekretär der SPE. Ich poste ohne Kürzel, mein Team unter (tap)."	"2 SPD: ökonomisch neutral + libertär/autoritär"
"Staatssekretär im Bundesministerium des Innern, für Bau und Heimat"	"6 keine Kategorie"
"Unterstütze jetzt die #AfD! Teile unsere Inhalte oder unterstütze uns auf anderem Weg. Wie das geht, erfährst Du hier: https://t.co/k12hvMEDIK"	"5 AfD: ökonomisch rechts + autoritär"
"•Mitteilungen & Kommentare des #AfD Landesverbandes Berlin •Impressum: https://t.co/boeXTCnann •RT ≠ Zustimmung! • Fraktion: @AfDFraktionAGH"	"5 AfD: ökonomisch rechts + autoritär"
"Wir sind Deine Stimme im Landtag!"	"6 keine Kategorie"
"Wahlkreis #Marzahn 1 direkt gewonnen, #AFD Fraktion im #AGH, Sprecher für Migration und Remigration, LaVo Mitglied AfD Berlin https://t.co/Zr3aljKX2f"	"5 AfD: ökonomisch rechts + autoritär"
"Agrarpolitischer Sprecher der AfD Fraktion im Bundestag. Landesvorsitzender AfD Bayern"	"5 AfD: ökonomisch rechts + autoritär"
