text,prediction,true label
Freigeist!,0,
"Aussenpolitischer Sprecher der @AfDimBundestag  | https://t.co/QVsSs8RsxU |  https://t.co/xxAb104OUZ https://t.co/1dUXDYzfWE |
verified by postillion 📯",0,
MdB für Augsburg-Land. Obmann Wirtschaftsausschuss. Wirtschaft und Digitales.// Impressum: https://t.co/roP1nwkys0,0,
MdB 🇩🇪 | SPD | Transatlanticist | Haushaltsausschuss | EU-Ausschuss | liberale Demokratie | USA 🇺🇸 | China 🇨🇳 | Westbalkan | HSV,0,
MdB bis 2021,0,
Künstlerin Kulturlobbyistin Publizistin | #kultur #antira #feminismus,0,
"MdB und Sprecherin für Klimaschutz und Energie bei @GrueneBundestag
Bundestagsabgeordnete WK 3
Wirtschaftsingenieurin, #Klimaaretterin",0,
"Ökonomin, Vorsitzende der @afa_spd und Senatorin in der @SenASGIVA.",0,
"Minister a.D., ehemaliger MdB, #aussenpolitik, #afrika",0,
"FDP - MdB „Es ist eine der Hauptaufgaben des Wettbewerbs, zu zeigen, welche Pläne falsch sind.“ F.A. von Hayek",0,
MdB @gruenebundestag. Sprecher für Haushaltspolitik. Europäer. Antifaschist. Hannoveraner 💚. Born at 345 ppm.,0,
🗳 Bundestagsabgeordneter (CDU)🌳 Obmann im Ausschuss für Klimaschutz und Energie 🍇 Südpfalz,0,
"Eine Bürgerrechtsbewegung die für eine neue Weltwirtschaftsordnung kämpft - schaut euch die Welt an, wir brauchen dringend eine neue...",0,
"Kämpft für soziale Sicherheit, Frieden und Klimagerechtigkeit. Mach mit: https://t.co/OcpOmClFzr",0,
Europa-Abgeordnete aus Schwäbisch Hall | @SPDEuropa und @TheProgressives | Ausschüsse: @EP_SingleMarket @EP_Legal und stellv. Vorsitzende der China-Delegation,0,
"MEP @GreensEFA | Chair @EP_SingleMarket | trade, fair globalisation, sustainable single market | VP of Brazil delegation | Mastodon anna_cavazzini@gruene.social",0,
MEP & Co-founder of @volteuropa 💜 Future of Europe & EU Reform 🇪🇺 Migration & Asylum 🌍 AI & Data strategy🤖,0,
Feminism. Social justice. Fundamental Rights. Co-President of @GreensEFA in the European Parliament (she/her). 🌈🇪🇺✨,0,
"EU Parliament @GreensEFA #ScienceGoesPolitics, fighting for environment, climate biodiversity, energy transition JuttaPaulus@mastodon.online
Born at 322 ppm CO2",0,
𝕡𝕗𝕒𝕖𝕝𝕫𝕖𝕣𝕚𝕟 & 𝕖𝕦𝕣𝕠𝕡𝕒𝕖𝕖𝕣𝕚𝕟 | Mitglied des Europäischen Parlaments | @CDU_CSU_EP,0,
"MEP (CDU) | Ausschuss Wirtschaft & Währung | NRW | ➡️ Berichterstatter für Markets in Crypto-Assets (MiCA) | Digitalisierung, Finanzen, Wirtschaft",0,
Member #MEP @europeanparliament @eppgroup @cdu_csu_ep coordinator for @ep_singlemarket #digital #competition #EUswitzerland,0,
"fighting for a fair and climate neutral economy, a Green New Deal, 🏳️‍🌈, speaker of @Gruene_Europa, budget coordinator @greensefa, MEP, he/him",0,
Member of @GreensEFA,0,
"Aktivistin • Politikerin (MdB, DIE #LINKE) • Feministin • Wk #Bautzen • #Mietenwahnsinnstoppen • #Clubsterbenstoppen • Youtube: https://t.co/CpmbrhmRAe",0,
MEP,0,
"🗣Vorsitzender Ausschuss für Umwelt, Klima & Energiewirtschaft @landtag_bw |Digital- & Klimapolitischer Sprecher 💻🌍 der @fdpdvpfraktion |Wahlkreis Rottweil📍",0,
"MdL Bayern, Sprecher für Sport, Medien, Digitale & Berufliche Bildung, #Grüne, Kreisrat, Löwenfan, Handballer, Optimist.",0,
"Grüne Abgeordnete | Feministin | Antifaschistin | Autorin | Vorsitzende @GrueneLandtagBY | Icecreamlover | Innenpolitik, Bayern, das Leben.",0,
Vorständin @vzbv,0,
MdA * Stellv. @linksfraktionB * @dielinkeberlin * #Wissenschaft * #Digitalisierung * #Gesundheitspolitik * Ossi im #Wedding * @sprengbuero,0,
Leiter Politik @greenpeace_de | #climatejustice | #fcunion | #singlespeed | #pride | #LLAP | born @ 344 ppm,0,
"Irgendwas mit Medien in Mitte. Ohne Tempolimit, Denkverbote und Gendergaga.",0,
"MdA | Sprecher für #Digitales,  #Verwaltungsmodernisierung & #Armutsbekämpfung von @GrueneFraktionB | #Europa #Grundeinkommen #UBIE | #Berlin #MaHe | Team: /tz",0,
Ich bin ich!,0,
Politik,0,
Politik & Staat,0,
"AI, KI, Tech, Digitalization, Politics, Sports,",0,
"Bremen. Findorff. MdBB der @SPDFraktionHB. Gleichstellung. Feministin, Bildung, Bürger*inbeteiligung. Twittert Politisches und manchmal Privates. Fight Racism!✊",0,
"queer vegan sXe political activist (she/--). neurodivergent. grün hinter den ohren. sportsfreund*in, ökoschlunze, rotznase. #hbbue #rumwargallern",0,
@mibloq@gruene.social Psychologie & Politik | Welt verbessern mit Wissenschaft(spolitik) und Bündnisarbeit | #ichbinantifa #smashthepatriachy #climatejusticenow,0,
"Kandidat für die @buergerschafthh / Am 23.02.20 alle 5 Stimme für Liste 1, Platz 11 / Gute Arbeit, Chancengleichheit und Gerechtigkeit für alle! #spd",0,
